master_id,f_KID_meas,ferr_KID_meas,F_filter_meas,Ferr_filter_meas,Q_filter_meas,Qerr_filter_meas,comment
0,4.85505047603927,2.38526050951169e-07,,,,,
1,4.8837349585118,2.49977825362068e-07,,,,,
2,4.91675522445306,3.56240552060481e-07,,,,,
3,4.88109801201868,3.36503963653599e-07,,,,,
4,4.90409964996245,3.98258508516433e-07,,,,,
5,4.93063340664524,3.53019009065437e-07,,,,,
6,4.94123142006429,3.35563704102239e-07,,,,,
10,6.11385360291872,1.82128766208983e-06,,,,,
11,6.1384914761077,1.66589191509444e-06,,,,,
12,6.16169086711588,3.46513558450522e-06,,,,,
13,6.1961842261587,1.3968195372046e-06,,,,,
14,6.21344004646178,9.13511650420266e-07,,,,,
15,6.25544180617008,1.16910644164058e-06,,,,,
100,5.14183932807672,1.2177744454901e-07,376.128247529251,0.00803855349393348,272.61962489644,4.51432264913519,ref:wideband0
101,5.15075851734647,4.15353056684114e-06,369.353871382506,0.00648014896598688,243.57970990772,2.94523829449854,ref:wideband0
102,5.15037026245664,3.81845583035161e-06,363.141851052985,0.00428099490581521,228.847379914067,1.74644449646318,ref:wideband0
103,5.15209778589883,2.04267845124405e-07,356.750374958567,0.00621797877375123,252.861561789982,3.15220506359014,ref:wideband0
104,5.15944284485952,3.75573266290667e-07,350.445554066086,0.00496246356037259,285.054649416793,3.25452596162544,ref:wideband0
105,5.17465488138379,2.50455222582332e-07,344.246912962106,0.0056109581268611,303.686749316316,4.25179388350177,ref:wideband0
106,5.18959633340951,1.94826672809786e-07,337.395160644527,0.00326940907258289,282.599215625728,2.18892075612411,ref:wideband0
107,5.25407448906933,6.8613094761446e-07,375.031389131471,0.00465106799388516,277.529996106233,2.70782291059376,ref:wideband0
108,5.27005337664116,4.95063469953529e-06,368.248078664477,0.00232598485439658,306.686698638413,1.68057162519963,ref:wideband0
109,5.270661781387,2.53990480756982e-06,362.38949932226,0.00369124836930567,357.857490465867,3.68954868309485,ref:wideband0
110,5.2674677619773,9.06904481248551e-06,355.940439382226,0.00757556964455771,379.520170963416,8.67069583608242,ref:wideband0
111,5.2680385238649,1.43803247382099e-05,349.437297863941,0.00394028976742219,321.332436572621,3.29322914336639,ref:wideband0
112,5.28230398739392,3.43897813859777e-07,343.192167028142,0.00254245366550124,327.671411876156,2.24979405114156,ref:wideband0
113,5.29580924645896,5.65340788027573e-07,336.103518775794,0.00802992313406839,201.706700433178,2.74966080411428,ref:wideband0
114,5.35896160739899,6.85437301097499e-07,374.600698254227,0.00313962504769906,357.198495307001,3.02714766179173,ref:wideband0
115,5.3825028809174,3.47830476062133e-06,367.273492911249,0.00522357130064653,270.289181386284,2.93935816176842,ref:wideband0
116,5.38907852393695,3.68953202427651e-07,361.078581559459,0.00194834471221991,318.475263980655,1.54801523922607,ref:wideband0
117,5.38604030356865,2.49614680398073e-07,355.035973389163,0.00705305052766382,238.327887132158,3.19169441556689,ref:wideband0
118,5.38154881569935,1.84059158758807e-06,348.66872631587,0.00716813619933694,225.332340522026,2.95255264582917,ref:wideband0
119,5.39306964739333,2.56647858856476e-07,342.144411123326,0.00465645101461145,265.130978005651,2.70602374011044,ref:wideband0
120,5.40583714057063,4.35453343405931e-07,335.236827578443,0.00217563241905673,372.621449527664,2.54871657931117,ref:wideband0
121,5.46323283229457,1.11915849072484e-06,373.799678140319,0.0066903747553415,247.898082083445,3.11611100036027,ref:wideband0
122,5.48899058876984,2.90925671576956e-07,366.417460660862,0.00168039459028925,313.530010294215,1.27518433985094,ref:wideband0
123,5.49707737874097,8.58614104866952e-07,360.240138009338,0.00598207516489716,269.482526067572,3.41096414640814,ref:wideband0
124,5.67824209560468,7.23454772252509e-07,354.102731623151,0.00281210299318342,374.873840938575,3.15654950306685,ref:wideband0
125,5.67592089056208,6.24426801862929e-07,347.899030430702,0.00211064201876631,377.333853991362,2.44317901632826,ref:wideband0
126,5.68540170393291,4.37523028619925e-07,341.404259197651,0.00457618184308921,310.79067983303,3.66200830288965,ref:wideband0
127,5.69590224936248,7.59127394891015e-07,334.072899627269,0.00330853264884301,289.119813802326,2.34167758685452,ref:wideband0
128,5.74758680477478,1.52407163360868e-06,372.873734192741,0.00392037863570185,380.499757597575,4.30681112547547,ref:wideband0
129,5.77135658305743,1.15161273054536e-06,365.87666898692,0.00648497069122366,259.563721957849,3.37794882657672,ref:wideband0
130,5.78795914012434,1.21999142137844e-06,359.042628774719,0.00165576674942848,341.963357539238,1.52534876332645,ref:wideband0
131,5.78263476858157,9.43527872825732e-07,353.110458791748,0.00428448891873622,252.938999681121,2.19572980793355,ref:wideband0
132,5.79041319854511,1.31045935398383e-06,346.886090334497,0.00653408322381991,237.760332081833,3.01192430943017,ref:wideband0
133,5.79841615824646,1.85403229559199e-06,340.465167565021,0.00201608806717841,304.953517937182,1.55762175353831,ref:wideband0
134,5.80533543156916,1.60704148725253e-06,333.322247867554,0.00470333787185351,304.684049928208,3.70519390721207,ref:wideband0
135,5.85618594566146,2.325359539589e-06,371.704397494153,0.00767490798950192,225.302944492375,2.96724319419542,ref:wideband0
136,5.87122416854092,7.06662166007255e-07,364.942972275949,0.00230264059500506,306.771699021127,1.67960316695256,ref:wideband0
137,5.88396736424586,7.76465391786027e-07,358.376656025837,0.00613843518349489,253.465338398883,3.11252046803239,ref:wideband0
138,5.88999160567783,8.29443745079795e-07,352.18330965742,0.00525382952950804,295.349768447611,3.68063750809206,ref:wideband0
139,5.89124141158536,1.86004537360016e-06,346.138894095121,0.00401402541415216,315.470606128958,3.26434055109707,ref:wideband0
140,5.91153372125563,1.74220322299899e-06,339.651629925293,0.00606067387102608,297.357473873322,4.4626676552046,ref:wideband0
141,5.91604007316037,1.88091856062224e-06,332.283107347827,0.00150757765548157,421.560287601385,2.28059452113319,ref:wideband0
142,5.97226450570986,1.61018441076535e-06,370.436619327598,0.00397604065244169,312.260106386401,2.96076557551565,ref:wideband0
143,5.97453374327778,1.58261313472195e-06,364.243666316175,0.00750901272456419,258.567527602985,3.89871506414701,ref:wideband0
144,5.98299831073105,9.83211851111949e-07,357.501352921395,0.00224914489198893,333.070037421299,1.97404607025114,ref:wideband0
145,5.98953171123092,1.34877838527678e-06,351.130581752603,0.00250648637430408,288.842514381691,1.68452332051587,ref:wideband0
146,6.00721118427897,6.4162589359286e-07,345.097697637995,0.0041489604228592,268.494849596978,2.4514956344638,ref:wideband0
147,6.02127406956729,1.79511277338358e-06,338.617193479424,0.0033348240261758,339.91124173751,3.2184477858407,ref:wideband0
148,6.02854081268875,9.60637678880315e-07,331.433330478593,0.00202328980873595,324.02531903379,1.81300519714004,ref:wideband0
